time_ms,B102NO2,B302C2H5OH,B502VOC,B702CO,TdegC,RH,label,add_label,condition
106817,76,48,191,184,22,56,beer,1pilsner,roomjose
107051,77,48,191,185,22,56,beer,1pilsner,roomjose
107280,77,49,191,187,22,56,beer,1pilsner,roomjose
107509,77,49,191,189,22,56,beer,1pilsner,roomjose
107739,77,48,191,191,22,56,beer,1pilsner,roomjose
107976,77,48,191,191,22,55,beer,1pilsner,roomjose
108206,76,49,191,191,22,55,beer,1pilsner,roomjose
108437,76,48,191,192,22,55,beer,1pilsner,roomjose
108668,76,49,191,192,22,55,beer,1pilsner,roomjose
108901,77,48,191,194,22,55,beer,1pilsner,roomjose
109132,76,48,190,196,22,55,beer,1pilsner,roomjose
109361,77,48,191,201,22,55,beer,1pilsner,roomjose
109594,77,48,191,205,22,55,beer,1pilsner,roomjose
109823,77,48,191,209,22,55,beer,1pilsner,roomjose
110053,77,49,191,214,22,55,beer,1pilsner,roomjose
